maple_leaf,noun:maple leaf,noun:canada,noun:leaf,,
mushroom,noun:mushroom,noun:plant,,,
earth_africa,noun:earth,noun:world,,,
new_moon_with_face,noun:moon,adj:dark,,,
first_quarter_moon_with_face,noun:moon,,,,
sunny,noun:sun,noun:daylight,adj:sunny,adj:lit,adj:bright
star,noun:star,,,,
cloud,noun:cloud,adj:sad,,,
thunder_cloud_rain,noun:storm,adj:scared,adj:scary,adj:sad,
cloud_rain,noun:rain,verb:rain,,,
cloud_snow,noun:snow,verb:snow,,,
cloud_lightning,noun:lightning,,,,
cloud_tornado,noun:tornado,adj:angry,,,
zap,noun:lightning,,,,
snowflake,noun:snow,adj:cold,verb:snow,,
fire,noun:fire,adj:hot,verb:burn,,
ocean,noun:water,noun:ocean,adj:wet,,
christmas_tree,noun:chritmas tree,noun:christmas,noun:holiday,,
snowman,noun:snowman,,,,
house_with_garden,noun:house,noun:home,,,
oncoming_bus,noun:bus,adj:public transport,,,
cityscape,noun:city,noun:town,noun:building,,
clapper,noun:cinema,noun:movie,adj:hollywood,,
projector,noun:projector,noun:movie,,,
loudspeaker,adj:loud,noun:loudspeaker,,,
face_palm,adj:embarassed,adj:exasperated,noun:facepalm,,
shrug,verb:don\'t care,verb:don\'t know,noun:shrug,,
